Project,Key,Summary,Issue Type,Status,Assignee,Fix Version/s,Epic Link,Parent,Start Date,Due Date,Story Points,Planned,Depends On,Blocks
PINE,PINE-203,Install plumbing mains,Story,To Do,Plumbing Crew,PINE R2 MEP Buildout,PINE-200,,2026-09-10,2026-10-15,8,true,PINE-104,
PINE,PINE-204,MEP inspection package,Story,To Do,MEP Manager,PINE R2 MEP Buildout,PINE-200,,2026-10-16,2026-11-10,5,true,"PINE-201; PINE-202; PINE-203",PINE-300
PINE,PINE-205,Integrate building controls,Task,To Do,Controls Vendor,PINE R2 MEP Buildout,PINE-200,,2026-09-20,2026-10-28,6,true,"PINE-201; PINE-202",
PINE,PINE-300,Pine Ridge interior buildout,Epic,To Do,Interior Superintendent,PINE R3 Interiors,,PINE-300,2026-09-15,2026-12-20,25,true,PINE-200,PINE-400
PINE,PINE-301,Frame interior partitions,Story,To Do,Carpentry Crew,PINE R3 Interiors,PINE-300,,2026-09-15,2026-10-05,3,true,PINE-204,
PINE,PINE-302,Hang drywall in public areas,Story,To Do,Drywall Crew,PINE R3 Interiors,PINE-300,,2026-10-06,2026-10-24,3,true,PINE-301,
PINE,PINE-303,Install ceiling grid,Task,To Do,Interior Crew,PINE R3 Interiors,PINE-300,,2026-10-18,2026-11-05,2,true,PINE-302,
PINE,PINE-304,Install millwork package,Story,To Do,Millwork Vendor,PINE R3 Interiors,PINE-300,,2026-11-06,2026-11-26,5,true,PINE-302,
PINE,PINE-305,Install flooring,Story,To Do,Flooring Crew,PINE R3 Interiors,PINE-300,,2026-11-18,2026-12-05,3,true,PINE-304,
PINE,PINE-306,Paint and final finishes,Story,To Do,Finish Crew,PINE R3 Interiors,PINE-300,,2026-12-01,2026-12-15,3,true,"PINE-304; PINE-305",
PINE,PINE-307,Interior punch walk,Task,To Do,Project Executive,PINE R3 Interiors,PINE-300,,2026-12-16,2026-12-20,3,true,PINE-306,PINE-500
PINE,PINE-400,Pine Ridge site amenities,Epic,To Do,Landscape Lead,PINE R4 Site Amenities,,PINE-400,2026-09-01,2026-11-30,16,true,PINE-100,PINE-500
PINE,PINE-401,Pour exterior sidewalks,Story,To Do,Concrete Crew,PINE R4 Site Amenities,PINE-400,,2026-09-01,2026-09-20,3,true,PINE-104,
PINE,PINE-402,Install parking lot lighting,Task,To Do,Electrical Crew,PINE R4 Site Amenities,PINE-400,,2026-09-12,2026-10-04,2,true,PINE-202,
PINE,PINE-403,Grade playground area,Story,To Do,Excavation Crew,PINE R4 Site Amenities,PINE-400,,2026-10-05,2026-10-20,3,true,PINE-401,
PINE,PINE-404,Install playground equipment,Story,To Do,Playground Vendor,PINE R4 Site Amenities,PINE-400,,2026-10-21,2026-11-10,3,true,PINE-403,
PINE,PINE-405,Plant landscaping package,Task,To Do,Landscape Crew,PINE R4 Site Amenities,PINE-400,,2026-11-01,2026-11-22,2,true,PINE-403,
PINE,PINE-406,Site amenities inspection,Story,To Do,Inspector,PINE R4 Site Amenities,PINE-400,,2026-11-23,2026-11-30,3,true,"PINE-404; PINE-405",PINE-500
PINE,PINE-500,Pine Ridge commissioning and opening,Epic,To Do,Operations Lead,PINE R5 Opening,,PINE-500,2026-11-15,2027-01-20,22,true,"PINE-300; PINE-400",
PINE,PINE-501,Commission HVAC systems,Story,To Do,HVAC Crew,PINE R5 Opening,PINE-500,,2026-11-15,2026-12-10,5,true,PINE-205,
PINE,PINE-502,Life safety inspection,Story,To Do,Fire Marshal,PINE R5 Opening,PINE-500,,2026-12-11,2026-12-22,5,true,"PINE-501; PINE-307",
PINE,PINE-503,Train facility staff,Task,To Do,Operations Lead,PINE R5 Opening,PINE-500,,2026-12-23,2027-01-05,3,true,PINE-502,
PINE,PINE-504,Public opening readiness,Story,To Do,Project Executive,PINE R5 Opening,PINE-500,,2027-01-06,2027-01-20,5,true,"PINE-503; PINE-406",
